route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
9389,3,5928666,Judah & 9th Av.,1,6601,113207
9389,3,5928665,Judah & 9th Av.,1,6601,113207
9389,2,5928632,Judah & 9th Av.,1,6601,113207
9389,2,5928631,Judah & 9th Av.,1,6601,113207
9389,2,5928630,Judah & 9th Av.,1,6601,113207
9389,2,5928619,Judah & 9th Av.,1,6601,113207
9389,2,5928620,Judah & 9th Av.,1,6601,113207
9389,2,5928621,Judah & 9th Av.,1,6601,113207
9389,2,5928622,Judah & 9th Av.,1,6601,113207
9389,2,5928623,Judah & 9th Av.,1,6601,113207
9389,2,5928624,Judah & 9th Av.,1,6601,113207
9389,2,5928625,Judah & 9th Av.,1,6601,113207
9389,2,5928626,Judah & 9th Av.,1,6601,113207
9389,2,5928627,Judah & 9th Av.,1,6601,113207
9389,2,5928628,Judah & 9th Av.,1,6601,113207
9389,2,5928618,Judah & 9th Av.,1,6601,113207
9389,2,5928629,Judah & 9th Av.,1,6601,113207
9389,2,5928602,Judah & 9th Av.,1,6601,113207
9389,2,5928603,Judah & 9th Av.,1,6601,113207
9389,2,5928604,Judah & 9th Av.,1,6601,113207
9389,2,5928605,Judah & 9th Av.,1,6601,113207
9389,2,5928606,Judah & 9th Av.,1,6601,113207
9389,2,5928571,Vicente & 30th Av.,0,6601,113206
9389,2,5928572,Vicente & 30th Av.,0,6601,113206
9389,2,5928573,Vicente & 30th Av.,0,6601,113206
9389,2,5928574,Vicente & 30th Av.,0,6601,113206
9389,2,5928575,Vicente & 30th Av.,0,6601,113206
9389,2,5928576,Vicente & 30th Av.,0,6601,113206
9389,2,5928577,Vicente & 30th Av.,0,6601,113206
9389,2,5928578,Vicente & 30th Av.,0,6601,113206
9389,2,5928579,Vicente & 30th Av.,0,6601,113206
9389,2,5928580,Vicente & 30th Av.,0,6601,113206
9389,2,5928581,Vicente & 30th Av.,0,6601,113206
9389,2,5928582,Vicente & 30th Av.,0,6601,113206
9389,2,5928583,Vicente & 30th Av.,0,6601,113206
9389,2,5928584,Vicente & 30th Av.,0,6601,113206
9389,2,5928585,Vicente & 30th Av.,0,6601,113206
9389,2,5928586,Vicente & 30th Av.,0,6601,113206
9389,2,5928587,Vicente & 30th Av.,0,6601,113206
9389,2,5928588,Vicente & 30th Av.,0,6601,113206
9389,2,5928589,Vicente & 30th Av.,0,6601,113206
9389,2,5928590,Vicente & 30th Av.,0,6601,113206
9389,2,5928591,Vicente & 30th Av.,0,6601,113206
9389,2,5928592,Vicente & 30th Av.,0,6601,113206
9389,2,5928593,Vicente & 30th Av.,0,6601,113206
9389,2,5928594,Vicente & 30th Av.,0,6601,113206
9389,2,5928595,Vicente & 30th Av.,0,6601,113206
9389,2,5928596,Vicente & 30th Av.,0,6601,113206
9389,2,5928597,Vicente & 30th Av.,0,6601,113206
9389,2,5928598,Vicente & 30th Av.,0,6601,113206
9389,1,5928474,Vicente & 30th Av.,0,6602,113206
9389,1,5928473,Vicente & 30th Av.,0,6602,113206
9389,1,5928472,Vicente & 30th Av.,0,6602,113206
9389,1,5928476,Vicente & 30th Av.,0,6602,113206
9389,1,5928477,Vicente & 30th Av.,0,6602,113206
9389,1,5928478,Vicente & 30th Av.,0,6602,113206
9389,1,5928520,Vicente & 30th Av.,0,6602,113206
9389,1,5928519,Vicente & 30th Av.,0,6602,113206
9389,1,5928518,Vicente & 30th Av.,0,6601,113206
9389,1,5928480,Vicente & 30th Av.,0,6602,113206
9389,1,5928481,Vicente & 30th Av.,0,6601,113206
9389,1,5928482,Vicente & 30th Av.,0,6602,113206
9389,1,5928483,Vicente & 30th Av.,0,6601,113206
9389,1,5928484,Vicente & 30th Av.,0,6602,113206
9389,1,5928485,Vicente & 30th Av.,0,6601,113206
9389,1,5928486,Vicente & 30th Av.,0,6602,113206
9389,1,5928487,Vicente & 30th Av.,0,6601,113206
9389,1,5928488,Vicente & 30th Av.,0,6602,113206
9389,1,5928489,Vicente & 30th Av.,0,6601,113206
9389,1,5928490,Vicente & 30th Av.,0,6602,113206
9389,1,5928491,Vicente & 30th Av.,0,6601,113206
9389,1,5928492,Vicente & 30th Av.,0,6602,113206
9389,1,5928479,Vicente & 30th Av.,0,6601,113206
9389,1,5928494,Vicente & 30th Av.,0,6602,113206
9389,1,5928493,Vicente & 30th Av.,0,6601,113206
9389,1,5928495,Vicente & 30th Av.,0,6602,113206
9389,1,5928496,Vicente & 30th Av.,0,6601,113206
9389,1,5928497,Vicente & 30th Av.,0,6602,113206
9389,1,5928498,Vicente & 30th Av.,0,6601,113206
9389,1,5928499,Vicente & 30th Av.,0,6602,113206
9389,1,5928500,Vicente & 30th Av.,0,6601,113206
9389,1,5928501,Vicente & 30th Av.,0,6602,113206
9389,1,5928502,Vicente & 30th Av.,0,6601,113206
9389,1,5928503,Vicente & 30th Av.,0,6602,113206
9389,1,5928504,Vicente & 30th Av.,0,6601,113206
9389,1,5928505,Vicente & 30th Av.,0,6602,113206
9389,3,5928664,Vicente & 30th Av.,0,6601,113206
9389,3,5928663,Vicente & 30th Av.,0,6601,113206
9389,3,5928662,Vicente & 30th Av.,0,6601,113206
9389,3,5928661,Vicente & 30th Av.,0,6601,113206
9389,3,5928660,Vicente & 30th Av.,0,6601,113206
9389,3,5928659,Vicente & 30th Av.,0,6601,113206
9389,3,5928658,Vicente & 30th Av.,0,6601,113206
9389,3,5928657,Vicente & 30th Av.,0,6601,113206
9389,3,5928656,Vicente & 30th Av.,0,6601,113206
9389,3,5928655,Vicente & 30th Av.,0,6601,113206
9389,3,5928654,Vicente & 30th Av.,0,6601,113206
9389,3,5928653,Vicente & 30th Av.,0,6601,113206
9389,3,5928652,Vicente & 30th Av.,0,6601,113206
9389,3,5928651,Vicente & 30th Av.,0,6601,113206
9389,3,5928650,Vicente & 30th Av.,0,6601,113206
9389,3,5928649,Vicente & 30th Av.,0,6601,113206
9389,3,5928648,Vicente & 30th Av.,0,6601,113206
9389,3,5928647,Vicente & 30th Av.,0,6601,113206
9389,3,5928646,Vicente & 30th Av.,0,6601,113206
9389,3,5928645,Vicente & 30th Av.,0,6601,113206
9389,3,5928644,Vicente & 30th Av.,0,6601,113206
9389,3,5928643,Vicente & 30th Av.,0,6601,113206
9389,3,5928642,Vicente & 30th Av.,0,6601,113206
9389,3,5928641,Vicente & 30th Av.,0,6601,113206
9389,3,5928640,Vicente & 30th Av.,0,6601,113206
9389,3,5928639,Vicente & 30th Av.,0,6601,113206
9389,3,5928638,Vicente & 30th Av.,0,6601,113206
9389,3,5928637,Vicente & 30th Av.,0,6601,113206
9389,3,5928636,Vicente & 30th Av.,0,6601,113206
9389,3,5928635,Vicente & 30th Av.,0,6601,113206
9389,3,5928634,Vicente & 30th Av.,0,6601,113206
9389,2,5928601,Vicente & 30th Av.,0,6601,113206
9389,2,5928600,Vicente & 30th Av.,0,6601,113206
9389,2,5928599,Vicente & 30th Av.,0,6601,113206
9390,3,5928901,Alemany Boulevard,0,6702,113209
9390,3,5928900,Alemany Boulevard,0,6701,113209
9390,3,5928899,Alemany Boulevard,0,6702,113209
9390,3,5928898,Alemany Boulevard,0,6701,113209
9390,3,5928897,Alemany Boulevard,0,6702,113209
9390,3,5928896,Alemany Boulevard,0,6701,113209
9390,3,5928895,Alemany Boulevard,0,6702,113209
9390,3,5928894,Alemany Boulevard,0,6701,113209
9390,3,5928893,Alemany Boulevard,0,6702,113209
9390,3,5928892,Alemany Boulevard,0,6701,113209
9390,2,5928803,Alemany Boulevard,0,6702,113209
9390,2,5928802,Alemany Boulevard,0,6701,113209
9390,2,5928801,Alemany Boulevard,0,6702,113209
9390,2,5928800,Alemany Boulevard,0,6701,113209
9390,2,5928804,Alemany Boulevard,0,6702,113209
9390,2,5928805,Alemany Boulevard,0,6701,113209
9390,2,5928806,Alemany Boulevard,0,6702,113209
9390,2,5928807,Alemany Boulevard,0,6701,113209
9390,2,5928808,Alemany Boulevard,0,6702,113209
9390,2,5928809,Alemany Boulevard,0,6701,113209
9390,2,5928810,Alemany Boulevard,0,6702,113209
9390,2,5928811,Alemany Boulevard,0,6701,113209
9390,2,5928812,Alemany Boulevard,0,6702,113209
9390,2,5928813,Alemany Boulevard,0,6701,113209
9390,2,5928814,Alemany Boulevard,0,6702,113209
9390,2,5928815,Alemany Boulevard,0,6701,113209
9390,2,5928816,Alemany Boulevard,0,6702,113209
9390,2,5928817,Alemany Boulevard,0,6701,113209
9390,2,5928818,Alemany Boulevard,0,6702,113209
9390,2,5928819,Alemany Boulevard,0,6701,113209
9390,3,5928937,Alemany Boulevard,0,6702,113209
9390,3,5928936,Alemany Boulevard,0,6701,113209
9390,1,5928743,Alemany Boulevard,0,6704,113209
9390,1,5928742,Alemany Boulevard,0,6703,113209
9390,1,5928741,Alemany Boulevard,0,6704,113209
9390,1,5928740,Alemany Boulevard,0,6703,113209
9390,1,5928739,Alemany Boulevard,0,6704,113209
9390,1,5928738,Alemany Boulevard,0,6703,113209
9390,1,5928736,Alemany Boulevard,0,6704,113209
